frame_id,accepted_step,attempt,iterations,load_factor,pseudo_time,reference_point_id,reference_x,reference_y,reference_z,u1,u2,u3,ur1,ur2,ur3,rf1,rf2,rf3,rm1,rm2,rm3,applied_f1,applied_f2,applied_f3,applied_m1,applied_m2,applied_m3
10,11,11,4,0.38749999999999996,11,900000,200,50,0,-0.077499999999999999,0,0,0,0,0,-1710.2711765716319,2.6453360086821078,-0.026733526581923073,-9.8557622671639251,-2003.8867102656686,-155.44296383933806,0,0,0,0,0,0
11,12,12,4,0.43749999999999994,12,900000,200,50,0,-0.087499999999999994,0,0,0,0,0,-1717.3143221391495,3.0487707676700424,-0.027695142122794891,-11.7144228200425,-2163.7230079970518,-192.73822803622716,0,0,0,0,0,0
12,13,13,4,0.48749999999999993,13,900000,200,50,0,-0.097499999999999989,0,0,0,0,0,-1723.229450124345,3.4441873543195527,-0.028420509623574119,-13.643660529430406,-2312.9027451652737,-229.87904056190928,0,0,0,0,0,0
13,14,14,4,0.53749999999999998,14,900000,200,50,0,-0.1075,0,0,0,0,0,-1728.3099763162086,3.8316924547788176,-0.028956842110977377,-15.63573552714081,-2453.3040195068834,-266.69031403362533,0,0,0,0,0,0
14,15,15,4,0.58750000000000002,15,900000,200,50,0,-0.11750000000000001,0,0,0,0,0,-1732.748288032484,4.211442071375302,-0.02933918254335488,-17.683964023284602,-2586.3117340595272,-303.06628669444626,0,0,0,0,0,0
15,16,16,4,0.63750000000000007,16,900000,200,50,0,-0.12750000000000003,0,0,0,0,0,-1736.6773817959015,4.5836166653529062,-0.029594313604201616,-19.782522232594147,-2712.98148916016,-338.94245612818077,0,0,0,0,0,0
16,17,17,4,0.68750000000000011,17,900000,200,50,0,-0.13750000000000004,0,0,0,0,0,-1740.1931068486922,4.9484078843494217,-0.029743092899286339,-21.926294316401936,-2834.1396339418657,-374.27991550904062,0,0,0,0,0,0
17,18,18,4,0.73750000000000016,18,900000,200,50,0,-0.14750000000000005,0,0,0,0,0,-1743.3668776664385,5.30601113320634,-0.029802147279776037,-24.110756038679824,-2950.4473931177154,-409.0562305449821,0,0,0,0,0,0
18,19,19,4,0.7875000000000002,19,900000,200,50,0,-0.15750000000000006,0,0,0,0,0,-1746.2533676920468,5.6566213530367051,-0.029784854795245508,-26.331879289831818,-3062.4436503254528,-443.25976491651954,0,0,0,0,0,0
19,20,20,3,0.83750000000000024,20,900000,200,50,0,-0.16750000000000007,0,0,0,0,0,-1748.8953772381456,6.0004305186968594,-0.029702201094645275,-28.586060418762145,-3170.5744626724663,-476.88620414619936,0,0,0,0,0,0
20,21,21,3,0.88750000000000029,21,900000,200,50,0,-0.17750000000000007,0,0,0,0,0,-1751.3270479103714,6.3376262470033424,-0.029563262359610931,-30.870058172677659,-3275.2140112678571,-509.93618374225662,0,0,0,0,0,0
21,22,22,3,0.93750000000000033,22,900000,200,50,0,-0.18750000000000008,0,0,0,0,0,-1753.5760462113019,6.6683909777813142,-0.029375639208909732,-33.180946061460872,-3376.6798372925014,-542.41377941989003,0,0,0,0,0,0
22,23,23,3,0.98750000000000038,23,900000,200,50,0,-0.19750000000000009,0,0,0,0,0,-1755.6651005209712,6.9929015840400126,-0.02914573150870936,-35.516071023701556,-3475.2441626068457,-574.32542554077554,0,0,0,0,0,0
23,24,24,3,1,24,900000,200,50,0,-0.20000000000000001,0,0,0,0,0,-1756.1646584778216,7.0730722087535582,-0.029082307586632439,-36.103351736718764,-3499.4601851888083,-582.21582624744451,0,0,0,0,0,0
