method,wall_seconds,speedup_vs_pointwise,active_pointwise_columns,analytic_published_batches,coupling_kernel_ms
pointwise_full_hessian,407.6509832000593,1.0,93120,0,267663.313
contraction_first_analytic,177.6965523000108,2.2940849325641897,0,1940,36053.349
